data,CSI_raw_v1,CSI_obj_v1,CSI_raw_v2,CSI_obj_v2
2024-02-16,0.41176,0.5777,0.45215,0.59857
2024-02-17,0.3368,0.57552,0.33857,0.58763
2024-02-18,0.30058,0.34018,0.29603,0.38327
2024-02-19,0.27614,0.42029,0.26194,0.43409
2024-02-20,0.22006,0.2337,0.23212,0.26393
