time,ME_1,ME_2,MAE_1,MAE_2,MSE_1,MSE_2,RMSE_1,RMSE_2,mean_obs,mean_1,mean_2,std_obs,std_1,std_2,CORR_1,CORR_2,MSEDISS_1,MSEDISS_2,MSEDISP_1,MSEDISP_2
2024-02-16,1.12,0.35,3.51,3.72,98.72,120.14,9.94,10.96,4.07,4.55,4.26,13.8,10.71,10.71,0.6,0.63,9.83,9.63,118.78,109.01
2024-02-17,0.67,0.31,4.95,5.58,265.18,295.46,16.28,17.19,5.37,5.71,5.57,18.5,12.51,12.43,0.38,0.44,35.97,36.79,287.83,255.85
2024-02-18,-0.17,0.15,7.22,7.62,327.45,341.58,18.1,18.48,7.26,7.04,7.4,20.06,11.67,12.62,0.36,0.44,70.45,55.34,298.8,285.22
2024-02-19,-0.91,1.31,8.27,8.39,367.16,354.34,19.16,18.82,7.87,8.16,9.03,20.37,13.87,19.69,0.39,0.57,42.39,1.82,345.42,344.06
2024-02-20,2.26,3.16,5.5,6.53,144.93,230.42,12.04,15.18,4.48,6.71,7.77,10.38,11.89,15.39,0.39,0.38,7.24,35.96,151.4,197.68
