time,ME_1,ME_2,MAE_1,MAE_2,MSE_1,MSE_2,RMSE_1,RMSE_2,mean_obs,mean_1,mean_2,std_obs,std_1,std_2,CORR_1,CORR_2,MSEDISS_1,MSEDISS_2,MSEDISP_1,MSEDISP_2
2024-02-16 00:00:00,-0.22,-0.22,0.36,0.36,0.24,0.24,0.49,0.49,1017.78,1017.58,1017.58,3.62,3.81,3.81,1.0,0.99,0.08,0.08,0.13,0.15
2024-02-16 03:00:00,-0.27,-0.29,0.47,0.48,0.41,0.43,0.64,0.65,1017.9,1017.63,1017.62,3.41,3.58,3.57,0.99,0.99,0.1,0.1,0.29,0.32
2024-02-16 06:00:00,-0.51,-0.47,0.6,0.6,0.58,0.58,0.76,0.76,1016.88,1016.42,1016.42,3.53,3.68,3.68,0.99,0.99,0.23,0.23,0.28,0.33
2024-02-16 09:00:00,-0.18,-0.17,0.4,0.42,0.32,0.33,0.57,0.57,1017.3,1017.17,1017.15,3.6,3.77,3.77,0.99,0.99,0.05,0.05,0.24,0.26
2024-02-16 12:00:00,-0.71,-0.73,0.75,0.77,0.76,0.81,0.87,0.9,1018.4,1017.74,1017.7,3.46,3.54,3.54,0.99,0.99,0.45,0.5,0.24,0.27
2024-02-16 15:00:00,-0.56,-0.52,0.64,0.61,0.61,0.55,0.78,0.74,1018.06,1017.6,1017.57,3.85,3.96,3.96,0.99,0.99,0.23,0.25,0.26,0.27
2024-02-16 18:00:00,-0.51,-0.49,0.67,0.62,0.96,0.88,0.98,0.94,1016.68,1016.3,1016.24,4.59,5.05,5.02,0.99,0.99,0.36,0.38,0.4,0.43
2024-02-16 21:00:00,-0.03,-0.08,0.66,0.58,0.79,0.66,0.89,0.81,1016.02,1016.09,1016.0,4.92,5.44,5.34,0.99,0.99,0.28,0.18,0.44,0.46
2024-02-17 00:00:00,0.09,0.07,0.61,0.59,0.58,0.57,0.76,0.75,1016.99,1017.14,1017.11,4.59,5.05,5.0,0.99,0.99,0.23,0.19,0.33,0.37
2024-02-17 03:00:00,-0.57,-0.62,0.78,0.78,1.0,0.97,1.0,0.98,1016.94,1016.43,1016.36,4.4,4.94,4.89,0.99,0.99,0.55,0.58,0.35,0.32
2024-02-17 06:00:00,-0.48,-0.55,0.95,0.92,1.4,1.31,1.18,1.14,1015.88,1015.45,1015.38,4.41,5.21,5.15,0.99,0.99,0.82,0.81,0.51,0.43
2024-02-17 09:00:00,0.02,0.0,0.61,0.57,0.55,0.51,0.74,0.71,1016.21,1016.25,1016.26,4.59,4.94,4.87,0.99,0.99,0.13,0.08,0.43,0.42
2024-02-17 12:00:00,-0.01,0.04,0.55,0.53,0.48,0.46,0.69,0.68,1017.14,1017.17,1017.23,4.57,4.84,4.75,0.99,0.99,0.08,0.04,0.42,0.42
