time,ME_1,ME_2,MAE_1,MAE_2,MSE_1,MSE_2,RMSE_1,RMSE_2,mean_obs,mean_1,mean_2,std_obs,std_1,std_2,CORR_1,CORR_2,MSEDISS_1,MSEDISS_2,MSEDISP_1,MSEDISP_2
2024-02-17 15:00:00,-0.23,-0.16,0.59,0.59,0.56,0.56,0.75,0.75,1016.65,1016.5,1016.55,4.74,5.06,4.97,0.99,0.99,0.13,0.06,0.41,0.48
2024-02-17 18:00:00,-0.41,-0.29,0.99,0.88,1.61,1.28,1.27,1.13,1015.03,1014.73,1014.82,5.1,5.93,5.78,0.99,0.99,0.77,0.5,0.72,0.74
2024-02-17 21:00:00,-0.48,-0.29,1.02,0.86,1.78,1.3,1.33,1.14,1014.29,1013.9,1014.08,5.23,6.14,5.96,0.99,0.99,0.98,0.57,0.74,0.7
2024-02-18 00:00:00,-0.89,-0.72,1.11,0.97,2.09,1.53,1.44,1.24,1015.35,1014.54,1014.71,4.83,5.6,5.46,0.99,0.99,1.25,0.8,0.76,0.63
2024-02-18 03:00:00,-0.92,-0.75,1.17,0.99,2.28,1.61,1.51,1.27,1015.52,1014.66,1014.83,4.46,5.26,5.07,0.98,0.98,1.39,0.85,0.84,0.68
2024-02-18 06:00:00,-0.62,-0.52,1.08,0.95,1.75,1.37,1.32,1.17,1014.62,1014.07,1014.17,4.3,5.1,4.94,0.98,0.98,0.94,0.61,0.76,0.73
2024-02-18 09:00:00,-0.79,-0.68,1.1,1.01,1.71,1.5,1.31,1.23,1014.9,1014.19,1014.29,4.21,4.74,4.58,0.98,0.98,0.78,0.51,0.92,0.92
2024-02-18 12:00:00,-0.66,-0.63,1.01,0.97,1.49,1.45,1.22,1.21,1015.73,1015.13,1015.16,3.88,4.25,4.21,0.97,0.97,0.5,0.43,1.0,0.96
2024-02-18 15:00:00,-0.58,-0.72,0.93,1.0,1.32,1.57,1.15,1.25,1015.0,1014.45,1014.35,3.84,4.4,4.29,0.98,0.97,0.61,0.63,0.73,0.86
2024-02-18 18:00:00,-0.5,-0.6,1.12,1.06,2.06,2.03,1.43,1.42,1013.03,1012.6,1012.52,4.16,5.04,4.84,0.97,0.97,0.97,0.73,1.12,1.24
2024-02-18 21:00:00,-0.3,-0.36,1.1,1.05,2.02,1.9,1.42,1.38,1012.1,1011.88,1011.84,4.21,5.13,4.97,0.97,0.97,0.89,0.65,1.2,1.23
2024-02-19 00:00:00,-1.08,-1.13,1.35,1.38,2.74,2.87,1.66,1.69,1013.06,1012.04,1012.02,3.74,4.53,4.44,0.97,0.97,1.66,1.57,1.15,1.15
2024-02-19 03:00:00,-1.02,-1.12,1.27,1.32,2.47,2.73,1.57,1.65,1012.8,1011.82,1011.76,3.29,4.01,3.94,0.96,0.96,1.47,1.5,1.08,1.1
2024-02-19 06:00:00,-0.6,-0.77,0.97,1.02,1.53,1.79,1.24,1.34,1011.3,1010.73,1010.6,3.24,3.79,3.76,0.96,0.96,0.62,0.75,0.93,0.96
2024-02-19 09:00:00,-0.76,-0.9,1.0,1.09,1.55,1.94,1.24,1.39,1011.49,1010.73,1010.67,3.15,3.64,3.65,0.96,0.96,0.82,0.93,0.81,0.91
2024-02-19 12:00:00,-1.11,-1.26,1.16,1.39,2.01,2.87,1.42,1.69,1012.29,1011.22,1011.11,2.95,3.3,3.38,0.96,0.94,1.26,1.59,0.73,1.13
2024-02-19 15:00:00,-1.02,-1.28,1.16,1.45,2.12,3.11,1.46,1.76,1011.52,1010.56,1010.32,2.8,3.21,3.31,0.94,0.93,1.08,1.7,1.0,1.25
2024-02-19 18:00:00,-1.1,-1.35,1.35,1.6,3.13,4.04,1.77,2.01,1009.98,1008.97,1008.71,2.97,3.69,3.79,0.93,0.93,1.53,2.26,1.55,1.6
2024-02-19 21:00:00,-1.38,-1.32,1.62,1.68,4.6,4.45,2.14,2.11,1009.48,1008.19,1008.26,3.07,4.04,4.05,0.92,0.93,2.6,2.46,1.95,1.81
2024-02-20 00:00:00,-1.96,-1.82,2.09,2.12,6.22,6.27,2.49,2.5,1010.4,1008.55,1008.67,2.75,3.64,3.72,0.91,0.9,4.24,3.95,1.79,2.07
2024-02-20 03:00:00,-1.84,-1.73,1.95,1.95,4.94,5.33,2.22,2.31,1010.23,1008.49,1008.57,2.64,3.11,3.35,0.91,0.89,3.28,3.26,1.42,1.87
2024-02-20 06:00:00,-1.1,-1.05,1.33,1.52,2.43,3.44,1.56,1.86,1009.06,1008.03,1008.07,2.75,2.98,3.39,0.93,0.9,1.11,1.38,1.21,1.94
2024-02-20 09:00:00,-1.25,-1.31,1.39,1.69,2.58,4.05,1.61,2.01,1009.61,1008.42,1008.36,2.86,3.01,3.5,0.94,0.9,1.45,1.97,1.02,1.93
2024-02-20 12:00:00,-1.86,-1.95,1.9,2.12,4.57,5.96,2.14,2.44,1010.81,1008.99,1008.92,2.81,2.84,3.3,0.93,0.89,3.3,3.82,1.12,1.95
2024-02-20 15:00:00,-1.58,-1.68,1.62,1.86,3.49,4.8,1.87,2.19,1010.39,1008.89,1008.77,2.92,3.01,3.43,0.94,0.91,2.27,2.91,1.02,1.74
2024-02-20 18:00:00,-1.51,-1.48,1.58,1.72,3.51,4.44,1.87,2.11,1009.1,1007.71,1007.67,3.35,3.63,4.07,0.95,0.94,1.99,2.55,1.2,1.74
2024-02-20 21:00:00,-1.76,-1.71,1.77,1.85,4.28,5.06,2.07,2.25,1009.13,1007.5,1007.5,3.63,4.0,4.45,0.96,0.95,2.8,3.35,1.07,1.49
2024-02-21 00:00:00,-2.4,-2.31,2.4,2.39,7.11,7.6,2.67,2.76,1010.93,1008.65,1008.7,3.36,3.89,4.29,0.96,0.95,5.47,5.84,1.07,1.43
