time,ME_1,ME_2,MAE_1,MAE_2,MSE_1,MSE_2,RMSE_1,RMSE_2,mean_obs,mean_1,mean_2,std_obs,std_1,std_2,CORR_1,CORR_2,MSEDISS_1,MSEDISS_2,MSEDISP_1,MSEDISP_2
2024-02-19,-1.33,-0.72,6.93,6.36,263.93,216.61,16.25,14.72,7.87,7.18,6.98,20.37,12.06,12.54,0.61,0.7,69.44,62.09,192.25,155.69
2024-02-20,1.82,2.26,4.29,4.99,96.03,136.81,9.8,11.7,4.48,6.8,6.95,10.38,12.19,13.18,0.57,0.53,8.68,13.94,109.71,129.0
2024-02-21,0.52,0.66,5.6,6.15,196.67,242.17,14.02,15.56,5.44,5.64,6.04,15.12,11.36,13.57,0.48,0.42,14.19,2.79,179.15,237.51
2024-02-22,0.84,0.79,4.65,4.77,113.23,125.34,10.64,11.2,4.86,5.3,5.52,13.27,11.34,13.76,0.61,0.67,3.92,0.68,117.39,121.12
2024-02-23,1.3,2.05,4.92,5.55,148.5,178.25,12.19,13.35,3.27,4.95,5.3,10.85,9.08,10.13,0.39,0.22,5.96,4.63,119.75,171.17
