data,CSI_raw_v1,CSI_obj_v1,CSI_raw_v2,CSI_obj_v2
2024-02-14,0.5757,0.76848,0.57582,0.76378
2024-02-15,0.30221,0.49275,0.30026,0.53646
2024-02-16,0.19869,0.38564,0.25472,0.41019
2024-02-17,0.26203,0.46279,0.30798,0.46608
2024-02-18,0.19053,0.19691,0.18833,0.22949
