time,ME_1,ME_2,MAE_1,MAE_2,MSE_1,MSE_2,RMSE_1,RMSE_2,mean_obs,mean_1,mean_2,std_obs,std_1,std_2,CORR_1,CORR_2,MSEDISS_1,MSEDISS_2,MSEDISP_1,MSEDISP_2
2024-02-14,-0.68,-0.97,3.83,4.22,128.33,134.04,11.33,11.58,6.1,5.07,4.93,16.36,10.72,10.34,0.71,0.71,32.81,37.6,100.28,97.45
2024-02-15,1.13,0.84,3.72,4.03,130.55,149.2,11.43,12.21,3.73,4.21,4.33,13.31,10.05,11.21,0.56,0.53,10.9,4.76,118.76,141.21
2024-02-16,2.02,1.46,4.99,5.37,158.71,198.15,12.6,14.08,4.07,5.1,5.39,13.8,10.13,11.49,0.4,0.41,14.59,7.09,169.15,186.88
2024-02-17,1.26,0.86,5.99,6.33,286.61,280.23,16.93,16.74,5.37,5.9,6.07,18.5,10.04,10.35,0.29,0.45,71.7,66.88,262.49,212.05
2024-02-18,1.64,1.45,9.65,9.82,449.05,460.05,21.19,21.45,7.26,8.06,8.54,20.06,12.23,12.62,0.15,0.21,61.94,56.91,418.71,399.03
