time,ME_1,ME_2,MAE_1,MAE_2,MSE_1,MSE_2,RMSE_1,RMSE_2,mean_obs,mean_1,mean_2,std_obs,std_1,std_2,CORR_1,CORR_2,MSEDISS_1,MSEDISS_2,MSEDISP_1,MSEDISP_2
2024-02-14 00:00:00,-0.11,-0.13,0.38,0.38,0.22,0.23,0.47,0.48,1014.6,1014.41,1014.41,6.26,6.27,6.27,1.0,1.0,0.04,0.04,0.21,0.21
2024-02-14 03:00:00,-0.21,-0.23,0.4,0.4,0.24,0.25,0.49,0.5,1014.97,1014.68,1014.65,6.08,6.07,6.1,1.0,1.0,0.08,0.1,0.2,0.2
2024-02-14 06:00:00,-0.45,-0.47,0.63,0.64,0.55,0.56,0.74,0.75,1014.48,1013.95,1013.92,5.61,5.37,5.4,1.0,1.0,0.33,0.35,0.28,0.25
2024-02-14 09:00:00,-0.28,-0.31,0.45,0.47,0.3,0.32,0.54,0.57,1015.63,1015.26,1015.23,4.97,4.86,4.88,1.0,1.0,0.15,0.17,0.18,0.18
2024-02-14 12:00:00,-0.28,-0.34,0.41,0.46,0.28,0.34,0.52,0.58,1017.09,1016.72,1016.67,4.35,4.36,4.37,0.99,0.99,0.14,0.18,0.2,0.22
2024-02-14 15:00:00,-0.35,-0.41,0.56,0.59,0.54,0.61,0.73,0.78,1017.14,1016.72,1016.66,3.9,3.85,3.86,0.99,0.99,0.18,0.24,0.43,0.44
2024-02-14 18:00:00,-0.05,-0.16,0.81,0.82,1.08,1.14,1.04,1.07,1016.23,1016.11,1016.01,3.67,3.91,3.91,0.96,0.96,0.08,0.11,1.04,1.08
2024-02-14 21:00:00,-0.2,-0.31,0.83,0.84,1.15,1.22,1.07,1.1,1016.43,1016.2,1016.09,3.3,3.71,3.67,0.96,0.96,0.21,0.25,0.92,0.98
2024-02-15 00:00:00,-0.4,-0.48,0.85,0.91,1.07,1.2,1.03,1.1,1017.84,1017.43,1017.34,3.03,3.37,3.34,0.96,0.96,0.29,0.35,0.75,0.86
2024-02-15 03:00:00,-0.71,-0.82,0.91,0.98,1.28,1.43,1.13,1.2,1017.94,1017.18,1017.09,3.02,3.41,3.36,0.97,0.97,0.73,0.85,0.57,0.63
2024-02-15 06:00:00,-0.51,-0.65,0.79,0.88,1.04,1.22,1.02,1.1,1017.04,1016.46,1016.37,3.1,3.56,3.51,0.97,0.97,0.54,0.62,0.56,0.61
2024-02-15 09:00:00,-0.15,-0.26,0.49,0.5,0.41,0.45,0.64,0.67,1017.69,1017.5,1017.42,3.22,3.45,3.41,0.99,0.98,0.09,0.11,0.32,0.34
2024-02-15 12:00:00,-0.31,-0.38,0.59,0.63,0.61,0.67,0.78,0.82,1018.81,1018.5,1018.43,3.14,3.27,3.27,0.98,0.98,0.11,0.16,0.46,0.5
2024-02-15 15:00:00,-0.7,-0.71,0.95,0.96,1.36,1.34,1.17,1.16,1018.57,1017.88,1017.86,3.29,3.7,3.66,0.97,0.97,0.64,0.63,0.66,0.68
2024-02-15 18:00:00,-0.63,-0.71,0.97,1.02,1.86,1.81,1.36,1.34,1017.33,1016.74,1016.64,3.8,4.41,4.31,0.97,0.97,0.73,0.75,1.0,1.01
2024-02-15 21:00:00,-0.44,-0.43,1.06,1.03,1.95,1.78,1.4,1.34,1016.77,1016.4,1016.38,3.79,4.67,4.58,0.97,0.97,0.92,0.77,0.89,0.95
2024-02-16 00:00:00,-0.99,-1.0,1.21,1.2,2.22,2.09,1.49,1.45,1017.78,1016.82,1016.81,3.62,4.27,4.17,0.98,0.97,1.35,1.24,0.75,0.77
2024-02-16 03:00:00,-1.1,-1.19,1.29,1.33,2.46,2.43,1.57,1.56,1017.9,1016.81,1016.73,3.41,4.0,3.91,0.97,0.97,1.52,1.62,0.85,0.76
2024-02-16 06:00:00,-0.9,-1.01,1.06,1.12,1.61,1.76,1.27,1.32,1016.88,1016.02,1015.89,3.53,3.92,3.82,0.98,0.98,0.89,1.06,0.63,0.65
2024-02-16 09:00:00,-1.0,-1.04,1.13,1.12,1.86,1.84,1.36,1.36,1017.3,1016.35,1016.28,3.6,3.91,3.82,0.97,0.97,0.99,1.08,0.75,0.7
2024-02-16 12:00:00,-1.17,-1.22,1.24,1.29,2.27,2.5,1.51,1.58,1018.4,1017.27,1017.2,3.46,3.74,3.68,0.97,0.96,1.36,1.5,0.82,0.95
2024-02-16 15:00:00,-1.43,-1.46,1.47,1.52,3.12,3.37,1.77,1.83,1018.06,1016.71,1016.63,3.85,4.14,4.09,0.97,0.96,1.91,2.11,0.96,1.15
2024-02-16 18:00:00,-1.31,-1.27,1.42,1.4,3.03,3.06,1.74,1.75,1016.68,1015.49,1015.47,4.59,4.91,4.75,0.97,0.97,1.53,1.5,1.17,1.42
2024-02-16 21:00:00,-0.87,-0.93,1.17,1.17,2.2,2.44,1.48,1.56,1016.02,1015.26,1015.16,4.92,5.29,5.12,0.98,0.97,0.72,0.78,1.29,1.53
2024-02-17 00:00:00,-1.54,-1.59,1.66,1.66,3.81,4.16,1.95,2.04,1016.99,1015.57,1015.47,4.59,5.14,5.06,0.98,0.97,2.32,2.52,1.16,1.41
2024-02-17 03:00:00,-1.53,-1.59,1.63,1.7,3.55,4.15,1.88,2.04,1016.94,1015.51,1015.4,4.4,4.81,4.76,0.97,0.96,2.22,2.49,1.07,1.48
2024-02-17 06:00:00,-1.02,-1.16,1.34,1.44,2.6,3.44,1.61,1.85,1015.88,1014.95,1014.78,4.41,4.76,4.72,0.96,0.95,0.98,1.3,1.47,1.99
2024-02-17 09:00:00,-1.09,-1.2,1.34,1.44,2.74,3.63,1.65,1.9,1016.21,1015.19,1015.08,4.59,4.78,4.77,0.96,0.95,1.08,1.32,1.55,2.15
2024-02-17 12:00:00,-1.38,-1.53,1.6,1.72,3.66,4.82,1.91,2.2,1017.14,1015.85,1015.69,4.57,4.63,4.62,0.96,0.94,1.67,2.12,1.78,2.5
2024-02-17 15:00:00,-1.55,-1.58,1.81,1.91,4.52,5.55,2.13,2.36,1016.65,1015.27,1015.15,4.74,4.85,4.81,0.95,0.93,1.93,2.25,2.18,3.05
2024-02-17 18:00:00,-1.48,-1.43,1.9,1.94,4.98,5.83,2.23,2.41,1015.03,1013.74,1013.7,5.1,5.41,5.27,0.95,0.93,1.77,1.79,2.85,3.77
2024-02-17 21:00:00,-1.69,-1.53,2.07,2.03,5.9,6.55,2.43,2.56,1014.29,1012.79,1012.87,5.23,5.76,5.58,0.95,0.93,2.53,2.12,3.03,4.13
2024-02-18 00:00:00,-2.15,-1.95,2.41,2.31,7.38,7.72,2.72,2.78,1015.35,1013.39,1013.51,4.83,5.27,5.14,0.95,0.92,4.03,3.48,2.78,3.87
2024-02-18 03:00:00,-2.03,-1.93,2.41,2.4,7.37,8.04,2.71,2.83,1015.52,1013.64,1013.67,4.46,4.72,4.54,0.92,0.89,3.59,3.39,3.44,4.33
2024-02-18 06:00:00,-1.53,-1.37,2.02,2.01,6.3,6.85,2.51,2.62,1014.62,1013.26,1013.34,4.3,4.42,4.23,0.89,0.86,1.87,1.66,4.25,4.99
2024-02-18 09:00:00,-1.51,-1.27,1.92,1.87,6.75,6.92,2.6,2.63,1014.9,1013.57,1013.72,4.21,4.37,4.18,0.87,0.85,1.79,1.4,4.79,5.33
2024-02-18 12:00:00,-1.68,-1.55,2.03,2.01,7.54,7.76,2.75,2.79,1015.73,1014.24,1014.26,3.88,3.95,3.84,0.83,0.82,2.22,2.16,5.12,5.39
2024-02-18 15:00:00,-1.23,-1.23,1.81,1.89,6.36,6.97,2.52,2.64,1015.0,1013.95,1013.85,3.84,4.01,3.84,0.83,0.81,1.13,1.31,5.22,5.49
2024-02-18 18:00:00,-1.15,-1.07,2.01,1.99,7.49,7.46,2.74,2.73,1013.03,1012.11,1012.06,4.16,4.62,4.31,0.83,0.82,1.06,0.97,6.45,6.35
2024-02-18 21:00:00,-1.12,-0.91,2.06,1.88,7.85,7.34,2.8,2.71,1012.1,1011.17,1011.28,4.21,4.67,4.36,0.83,0.82,1.07,0.69,6.84,6.53
2024-02-19 00:00:00,-1.76,-1.43,2.42,2.16,10.16,9.13,3.19,3.02,1013.06,1011.51,1011.72,3.74,4.3,4.04,0.78,0.77,2.71,1.88,7.22,7.06
